id_number,name,type_1,type_2,alternative_types,stat_total,HP,Attack,Defense,Special Attack,Special Defense,Speed
292,Shedinja,Bug,Ghost,No alternate type,236,1,90,45,30,30,40
,,,,,,,,,,,
293,Whismur,Normal,No second type,No alternate type,240,64,51,23,51,23,28
,,,,,,,,,,,
294,Loudred,Normal,No second type,No alternate type,360,84,71,43,71,43,48
,,,,,,,,,,,
295,Exploud,Normal,No second type,No alternate type,490,104,91,63,91,73,68
,,,,,,,,,,,
296,Makuhita,Fighting,No second type,No alternate type,237,72,60,30,20,30,25
,,,,,,,,,,,
297,Hariyama,Fighting,No second type,No alternate type,474,144,120,60,40,60,50
,,,,,,,,,,,
298,Azurill,Normal,Fairy,No alternate type,190,50,20,40,20,40,20
,,,,,,,,,,,
299,Nosepass,Rock,No second type,No alternate type,375,30,45,135,45,90,30
,,,,,,,,,,,
300,Skitty,Normal,No second type,No alternate type,260,50,45,45,35,35,50
,,,,,,,,,,,
301,Delcatty,Normal,No second type,No alternate type,400,70,65,65,55,55,90
,,,,,,,,,,,
302,Sableye,Dark,Ghost,No alternate type,380,50,85,125,85,115,20
,,,,,,,,,,,
303,Mawile,Steel,Fairy,No alternate type,380,50,105,125,55,95,50
,,,,,,,,,,,
304,Aron,Steel,Rock,No alternate type,330,50,70,100,40,40,30
,,,,,,,,,,,
305,Lairon,Steel,Rock,No alternate type,430,60,90,140,50,50,40
,,,,,,,,,,,
306,Aggron,Steel,Rock,No alternate type,530,70,140,230,60,80,50
,,,,,,,,,,,
307,Meditite,Fighting,Psychic,No alternate type,280,30,40,55,40,55,60
,,,,,,,,,,,
308,Medicham,Fighting,Psychic,No alternate type,410,60,100,85,80,85,100
,,,,,,,,,,,
309,Electrike,Electric,No second type,No alternate type,295,40,45,40,65,40,65
,,,,,,,,,,,
310,Manectric,Electric,No second type,No alternate type,475,70,75,80,135,80,135
,,,,,,,,,,,
311,Plusle,Electric,No second type,No alternate type,405,60,50,40,85,75,95
,,,,,,,,,,,
312,Minun,Electric,No second type,No alternate type,405,60,40,50,75,85,95
,,,,,,,,,,,
313,Volbeat,Bug,No second type,No alternate type,430,65,73,75,47,85,85
,,,,,,,,,,,
314,Illumise,Bug,No second type,No alternate type,430,65,47,75,73,85,85
,,,,,,,,,,,
315,Roselia,Grass,Poison,No alternate type,400,50,60,45,100,80,65
,,,,,,,,,,,
316,Gulpin,Poison,No second type,No alternate type,302,70,43,53,43,53,40
,,,,,,,,,,,
317,Swalot,Poison,No second type,No alternate type,467,100,73,83,73,83,55
,,,,,,,,,,,
318,Carvanha,Water,Dark,No alternate type,305,45,90,20,65,20,65
,,,,,,,,,,,
319,Sharpedo,Water,Dark,No alternate type,460,70,140,70,110,65,105
,,,,,,,,,,,
320,Wailmer,Water,No second type,No alternate type,400,130,70,35,70,35,60
,,,,,,,,,,,
321,Wailord,Water,No second type,No alternate type,500,170,90,45,90,45,60
,,,,,,,,,,,
322,Numel,Fire,Ground,No alternate type,305,60,60,40,65,45,35
,,,,,,,,,,,
323,Camerupt,Fire,Ground,No alternate type,460,70,120,100,145,105,20
,,,,,,,,,,,
324,Torkoal,Fire,No second type,No alternate type,470,70,85,140,85,70,20
,,,,,,,,,,,
325,Spoink,Psychic,No second type,No alternate type,330,60,25,35,70,80,60
,,,,,,,,,,,
326,Grumpig,Psychic,No second type,No alternate type,470,80,45,65,90,110,80
,,,,,,,,,,,
327,Spinda,Normal,No second type,No alternate type,360,60,60,60,60,60,60
,,,,,,,,,,,
328,Trapinch,Ground,No second type,No alternate type,290,45,100,45,45,45,10
,,,,,,,,,,,
329,Vibrava,Ground,Dragon,No alternate type,340,50,70,50,50,50,70
,,,,,,,,,,,
330,Flygon,Ground,Dragon,No alternate type,520,80,100,80,80,80,100
,,,,,,,,,,,
331,Cacnea,Grass,No second type,No alternate type,335,50,85,40,85,40,35
,,,,,,,,,,,
332,Cacturne,Grass,Dark,No alternate type,475,70,115,60,115,60,55
,,,,,,,,,,,
333,Swablu,Normal,Flying,No alternate type,310,45,40,60,40,75,50
,,,,,,,,,,,
334,Altaria,Dragon,Flying,No alternate type,490,75,110,110,110,105,80
,,,,,,,,,,,
335,Zangoose,Normal,No second type,No alternate type,458,73,115,60,60,60,90
,,,,,,,,,,,
336,Seviper,Poison,No second type,No alternate type,458,73,100,60,100,60,65
,,,,,,,,,,,
337,Lunatone,Rock,Psychic,No alternate type,460,90,55,65,95,85,70
,,,,,,,,,,,
338,Solrock,Rock,Psychic,No alternate type,460,90,95,85,55,65,70
,,,,,,,,,,,
339,Barboach,Water,Ground,No alternate type,288,50,48,43,46,41,60
,,,,,,,,,,,
340,Whiscash,Water,Ground,No alternate type,468,110,78,73,76,71,60
,,,,,,,,,,,
341,Corphish,Water,No second type,No alternate type,308,43,80,65,50,35,35
,,,,,,,,,,,
342,Crawdaunt,Water,Dark,No alternate type,468,63,120,85,90,55,55
,,,,,,,,,,,
343,Baltoy,Ground,Psychic,No alternate type,300,40,40,55,40,70,55
,,,,,,,,,,,
344,Claydol,Ground,Psychic,No alternate type,500,60,70,105,70,120,75
,,,,,,,,,,,
345,Lileep,Rock,Grass,No alternate type,355,66,41,77,61,87,23
,,,,,,,,,,,
346,Cradily,Rock,Grass,No alternate type,495,86,81,97,81,107,43
,,,,,,,,,,,
347,Anorith,Rock,Bug,No alternate type,355,45,95,50,40,50,75
,,,,,,,,,,,
348,Armaldo,Rock,Bug,No alternate type,495,75,125,100,70,80,45
,,,,,,,,,,,
349,Feebas,Water,No second type,No alternate type,200,20,15,20,10,55,80
,,,,,,,,,,,
350,Milotic,Water,No second type,No alternate type,540,95,60,79,100,125,81
,,,,,,,,,,,
351,Castform,Normal,Fire,Water,420,70,70,70,70,70,70
,,,,,,,,,,,
352,Kecleon,Normal,No second type,No alternate type,440,60,90,70,60,120,40
,,,,,,,,,,,
353,Shuppet,Ghost,No second type,No alternate type,295,44,75,35,63,33,45
,,,,,,,,,,,
354,Banette,Ghost,No second type,No alternate type,455,64,165,75,93,83,75
,,,,,,,,,,,
355,Duskull,Ghost,No second type,No alternate type,295,20,40,90,30,90,25
,,,,,,,,,,,
356,Dusclops,Ghost,No second type,No alternate type,455,40,70,130,60,130,25
,,,,,,,,,,,
357,Tropius,Grass,Flying,No alternate type,460,99,68,83,72,87,51
,,,,,,,,,,,
358,Chimecho,Psychic,No second type,No alternate type,455,75,50,80,95,90,65
,,,,,,,,,,,
359,Absol,Dark,No second type,No alternate type,465,65,150,60,115,60,115
,,,,,,,,,,,
360,Wynaut,Psychic,No second type,No alternate type,260,95,23,48,23,48,23
,,,,,,,,,,,
361,Snorunt,Ice,No second type,No alternate type,300,50,50,50,50,50,50
,,,,,,,,,,,
362,Glalie,Ice,No second type,No alternate type,480,80,120,80,120,80,100
,,,,,,,,,,,
363,Spheal,Ice,Water,No alternate type,290,70,40,50,55,50,25
,,,,,,,,,,,
364,Sealeo,Ice,Water,No alternate type,410,90,60,70,75,70,45
,,,,,,,,,,,
365,Walrein,Ice,Water,No alternate type,530,110,80,90,95,90,65
,,,,,,,,,,,
366,Clamperl,Water,No second type,No alternate type,345,35,64,85,74,55,32
,,,,,,,,,,,
367,Huntail,Water,No second type,No alternate type,485,55,104,105,94,75,52
,,,,,,,,,,,
368,Gorebyss,Water,No second type,No alternate type,485,55,84,105,114,75,52
,,,,,,,,,,,
369,Relicanth,Water,Rock,No alternate type,485,100,90,130,45,65,55
,,,,,,,,,,,
370,Luvdisc,Water,No second type,No alternate type,330,43,30,55,40,65,97
,,,,,,,,,,,
371,Bagon,Dragon,No second type,No alternate type,300,45,75,60,40,30,50
,,,,,,,,,,,
372,Shelgon,Dragon,No second type,No alternate type,420,65,95,100,60,50,50
,,,,,,,,,,,
373,Salamence,Dragon,Flying,No alternate type,600,95,145,130,120,90,120
,,,,,,,,,,,
374,Beldum,Steel,Psychic,No alternate type,300,40,55,80,35,60,30
,,,,,,,,,,,
375,Metang,Steel,Psychic,No alternate type,420,60,75,100,55,80,50
,,,,,,,,,,,
376,Metagross,Steel,Psychic,No alternate type,600,80,145,150,105,110,110
,,,,,,,,,,,
377,Regirock,Rock,No second type,No alternate type,580,80,100,200,50,100,50
,,,,,,,,,,,
378,Regice,Ice,No second type,No alternate type,580,80,50,100,100,200,50
,,,,,,,,,,,
379,Registeel,Steel,No second type,No alternate type,580,80,75,150,75,150,50
,,,,,,,,,,,
380,Latias,Dragon,Psychic,No alternate type,600,80,100,120,140,150,110
,,,,,,,,,,,
381,Latios,Dragon,Psychic,No alternate type,600,80,130,100,160,120,110
,,,,,,,,,,,
382,Kyogre,Water,No second type,No alternate type,670,100,150,90,180,160,90
,,,,,,,,,,,
383,Groudon,Ground,No second type,No alternate type,670,100,180,160,150,90,90
,,,,,,,,,,,
384,Rayquaza,Dragon,Flying,No alternate type,680,105,180,100,180,100,115
,,,,,,,,,,,
385,Jirachi,Steel,Psychic,No alternate type,600,100,100,100,100,100,100
,,,,,,,,,,,
386,Deoxys,Psychic,No second type,No alternate type,600,50,95,90,95,90,180
,,,,,,,,,,,
387,Turtwig,Grass,No second type,No alternate type,318,55,68,64,45,55,31
,,,,,,,,,,,
388,Grotle,Grass,No second type,No alternate type,405,75,89,85,55,65,36
,,,,,,,,,,,
389,Torterra,Grass,Ground,No alternate type,525,95,109,105,75,85,56
,,,,,,,,,,,
390,Chimchar,Fire,No second type,No alternate type,309,44,58,44,58,44,61
,,,,,,,,,,,
391,Monferno,Fire,Fighting,No alternate type,405,64,78,52,78,52,81
,,,,,,,,,,,
392,Infernape,Fire,Fighting,No alternate type,534,76,104,71,104,71,108
,,,,,,,,,,,
393,Piplup,Water,No second type,No alternate type,314,53,51,53,61,56,40
,,,,,,,,,,,
394,Prinplup,Water,No second type,No alternate type,405,64,66,68,81,76,50
,,,,,,,,,,,
395,Empoleon,Water,Steel,No alternate type,530,84,86,88,111,101,60
,,,,,,,,,,,
396,Starly,Normal,Flying,No alternate type,245,40,55,30,30,30,60
,,,,,,,,,,,
397,Staravia,Normal,Flying,No alternate type,340,55,75,50,40,40,80
,,,,,,,,,,,
398,Staraptor,Normal,Flying,No alternate type,485,85,120,70,50,60,100
,,,,,,,,,,,
399,Bidoof,Normal,No second type,No alternate type,250,59,45,40,35,40,31
,,,,,,,,,,,
400,Bibarel,Normal,Water,No alternate type,410,79,85,60,55,60,71
,,,,,,,,,,,
401,Kricketot,Bug,No second type,No alternate type,194,37,25,41,25,41,25
,,,,,,,,,,,
402,Kricketune,Bug,No second type,No alternate type,384,77,85,51,55,51,65
,,,,,,,,,,,
403,Shinx,Electric,No second type,No alternate type,263,45,65,34,40,34,45
,,,,,,,,,,,
404,Luxio,Electric,No second type,No alternate type,363,60,85,49,60,49,60
,,,,,,,,,,,
405,Luxray,Electric,No second type,No alternate type,523,80,120,79,95,79,70
,,,,,,,,,,,
406,Budew,Grass,Poison,No alternate type,280,40,30,35,50,70,55
,,,,,,,,,,,
407,Roserade,Grass,Poison,No alternate type,515,60,70,65,125,105,90
,,,,,,,,,,,
408,Cranidos,Rock,No second type,No alternate type,350,67,125,40,30,30,58
,,,,,,,,,,,
409,Rampardos,Rock,No second type,No alternate type,495,97,165,60,65,50,58
,,,,,,,,,,,
410,Shieldon,Rock,Steel,No alternate type,350,30,42,118,42,88,30
,,,,,,,,,,,
411,Bastiodon,Rock,Steel,No alternate type,495,60,52,168,47,138,30
,,,,,,,,,,,
412,Burmy,Bug,No second type,No alternate type,224,40,29,45,29,45,36
,,,,,,,,,,,
413,Wormadam,Bug,Grass,Bug,424,60,69,95,69,95,36
,,,,,,,,,,,
414,Mothim,Bug,Flying,No alternate type,424,70,94,50,94,50,66
,,,,,,,,,,,
415,Combee,Bug,Flying,No alternate type,244,30,30,42,30,42,70
,,,,,,,,,,,
416,Vespiquen,Bug,Flying,No alternate type,474,70,80,102,80,102,40
,,,,,,,,,,,
417,Pachirisu,Electric,No second type,No alternate type,405,60,45,70,45,90,95
,,,,,,,,,,,
418,Buizel,Water,No second type,No alternate type,330,55,65,35,60,30,85
,,,,,,,,,,,
419,Floatzel,Water,No second type,No alternate type,495,85,105,55,85,50,115
,,,,,,,,,,,
420,Cherubi,Grass,No second type,No alternate type,275,45,35,45,62,53,35
,,,,,,,,,,,
421,Cherrim,Grass,No second type,No alternate type,450,70,60,70,87,78,85
,,,,,,,,,,,
422,Shellos,Water,No second type,No alternate type,325,76,48,48,57,62,34
,,,,,,,,,,,
423,Gastrodon,Water,Ground,No alternate type,475,111,83,68,92,82,39
,,,,,,,,,,,
424,Ambipom,Normal,No second type,No alternate type,482,75,100,66,60,66,115
,,,,,,,,,,,
425,Drifloon,Ghost,Flying,No alternate type,348,90,50,34,60,44,70
,,,,,,,,,,,
426,Drifblim,Ghost,Flying,No alternate type,498,150,80,44,90,54,80
,,,,,,,,,,,
427,Buneary,Normal,No second type,No alternate type,350,55,66,44,44,56,85
,,,,,,,,,,,
428,Lopunny,Normal,No second type,No alternate type,480,65,136,94,54,96,135
,,,,,,,,,,,
429,Mismagius,Ghost,No second type,No alternate type,495,60,60,60,105,105,105
,,,,,,,,,,,
430,Honchkrow,Dark,Flying,No alternate type,505,100,125,52,105,52,71
,,,,,,,,,,,
431,Glameow,Normal,No second type,No alternate type,310,49,55,42,42,37,85
,,,,,,,,,,,
432,Purugly,Normal,No second type,No alternate type,452,71,82,64,64,59,112
,,,,,,,,,,,
433,Chingling,Psychic,No second type,No alternate type,285,45,30,50,65,50,45
,,,,,,,,,,,
434,Stunky,Poison,Dark,No alternate type,329,63,63,47,41,41,74
,,,,,,,,,,,
435,Skuntank,Poison,Dark,No alternate type,479,103,93,67,71,61,84
,,,,,,,,,,,
436,Bronzor,Steel,Psychic,No alternate type,300,57,24,86,24,86,23
,,,,,,,,,,,
437,Bronzong,Steel,Psychic,No alternate type,500,67,89,116,79,116,33
,,,,,,,,,,,
438,Bonsly,Rock,No second type,No alternate type,290,50,80,95,10,45,10
,,,,,,,,,,,
439,MimeJr.,Psychic,Fairy,No alternate type,310,20,25,45,70,90,60
,,,,,,,,,,,
440,Happiny,Normal,No second type,No alternate type,220,100,5,5,15,65,30
,,,,,,,,,,,
441,Chatot,Normal,Flying,No alternate type,411,76,65,45,92,42,91
,,,,,,,,,,,
442,Spiritomb,Ghost,Dark,No alternate type,485,50,92,108,92,108,35
,,,,,,,,,,,
443,Gible,Dragon,Ground,No alternate type,300,58,70,45,40,45,42
,,,,,,,,,,,
444,Gabite,Dragon,Ground,No alternate type,410,68,90,65,50,55,82
,,,,,,,,,,,
445,Garchomp,Dragon,Ground,No alternate type,600,108,170,115,120,95,92
,,,,,,,,,,,
446,Munchlax,Normal,No second type,No alternate type,390,135,85,40,40,85,5
,,,,,,,,,,,
447,Riolu,Fighting,No second type,No alternate type,285,40,70,40,35,40,60
,,,,,,,,,,,
448,Lucario,Fighting,Steel,No alternate type,525,70,145,88,140,70,112
,,,,,,,,,,,
449,Hippopotas,Ground,No second type,No alternate type,330,68,72,78,38,42,32
,,,,,,,,,,,
450,Hippowdon,Ground,No second type,No alternate type,525,108,112,118,68,72,47
,,,,,,,,,,,
451,Skorupi,Poison,Bug,No alternate type,330,40,50,90,30,55,65
,,,,,,,,,,,
452,Drapion,Poison,Dark,No alternate type,500,70,90,110,60,75,95
,,,,,,,,,,,
453,Croagunk,Poison,Fighting,No alternate type,300,48,61,40,61,40,50
,,,,,,,,,,,
454,Toxicroak,Poison,Fighting,No alternate type,490,83,106,65,86,65,85
,,,,,,,,,,,
455,Carnivine,Grass,No second type,No alternate type,454,74,100,72,90,72,46
,,,,,,,,,,,
456,Finneon,Water,No second type,No alternate type,330,49,49,56,49,61,66
,,,,,,,,,,,
457,Lumineon,Water,No second type,No alternate type,460,69,69,76,69,86,91
,,,,,,,,,,,
458,Mantyke,Water,Flying,No alternate type,345,45,20,50,60,120,50
,,,,,,,,,,,
459,Snover,Grass,Ice,No alternate type,334,60,62,50,62,60,40
,,,,,,,,,,,
460,Abomasnow,Grass,Ice,No alternate type,494,90,132,105,132,105,30
,,,,,,,,,,,
461,Weavile,Dark,Ice,No alternate type,510,70,120,65,45,85,125
,,,,,,,,,,,
462,Magnezone,Electric,Steel,No alternate type,535,70,70,115,130,90,60
,,,,,,,,,,,
463,Lickilicky,Normal,No second type,No alternate type,515,110,85,95,80,95,50
,,,,,,,,,,,
464,Rhyperior,Ground,Rock,No alternate type,535,115,140,130,55,55,40
,,,,,,,,,,,
465,Tangrowth,Grass,No second type,No alternate type,535,100,100,125,110,50,50
,,,,,,,,,,,
466,Electivire,Electric,No second type,No alternate type,540,75,123,67,95,85,95
,,,,,,,,,,,
467,Magmortar,Fire,No second type,No alternate type,540,75,95,67,125,95,83
,,,,,,,,,,,
468,Togekiss,Fairy,Flying,No alternate type,545,85,50,95,120,115,80
,,,,,,,,,,,
469,Yanmega,Bug,Flying,No alternate type,515,86,76,86,116,56,95
,,,,,,,,,,,
470,Leafeon,Grass,No second type,No alternate type,525,65,110,130,60,65,95
,,,,,,,,,,,
471,Glaceon,Ice,No second type,No alternate type,525,65,60,110,130,95,65
,,,,,,,,,,,
472,Gliscor,Ground,Flying,No alternate type,510,75,95,125,45,75,95
,,,,,,,,,,,
473,Mamoswine,Ice,Ground,No alternate type,530,110,130,80,70,60,80
,,,,,,,,,,,
474,Porygon-Z,Normal,No second type,No alternate type,535,85,80,70,135,75,90
,,,,,,,,,,,
475,Gallade,Psychic,Fighting,No alternate type,518,68,165,95,65,115,110
,,,,,,,,,,,
476,Probopass,Rock,Steel,No alternate type,525,60,55,145,75,150,40
,,,,,,,,,,,
477,Dusknoir,Ghost,No second type,No alternate type,525,45,100,135,65,135,45
,,,,,,,,,,,
478,Froslass,Ice,Ghost,No alternate type,480,70,80,70,80,70,110
,,,,,,,,,,,
479,Rotom,Electric,Ghost,Electric,440,50,65,107,105,107,86
,,,,,,,,,,,
480,Uxie,Psychic,No second type,No alternate type,580,75,75,130,75,130,95
,,,,,,,,,,,
481,Mesprit,Psychic,No second type,No alternate type,580,80,105,105,105,105,80
,,,,,,,,,,,
482,Azelf,Psychic,No second type,No alternate type,580,75,125,70,125,70,115
,,,,,,,,,,,
483,Dialga,Steel,Dragon,No alternate type,680,100,120,120,150,100,90
,,,,,,,,,,,
484,Palkia,Water,Dragon,No alternate type,680,90,120,100,150,120,100
,,,,,,,,,,,
485,Heatran,Fire,Steel,No alternate type,600,91,90,106,130,106,77
,,,,,,,,,,,
486,Regigigas,Normal,No second type,No alternate type,670,110,160,110,80,110,100
,,,,,,,,,,,
487,Giratina,Ghost,Dragon,No alternate type,680,150,120,100,120,100,90
,,,,,,,,,,,
488,Cresselia,Psychic,No second type,No alternate type,600,120,70,120,75,130,85
,,,,,,,,,,,
489,Phione,Water,No second type,No alternate type,480,80,80,80,80,80,80
,,,,,,,,,,,
490,Manaphy,Water,No second type,No alternate type,600,100,100,100,100,100,100
,,,,,,,,,,,
491,Darkrai,Dark,No second type,No alternate type,600,70,90,90,135,90,125
,,,,,,,,,,,
492,Shaymin,Grass,Grass,Flying,600,100,103,75,120,75,127
,,,,,,,,,,,
493,Arceus,Normal,No second type,No alternate type,720,120,120,120,120,120,120
,,,,,,,,,,,
494,Victini,Psychic,Fire,No alternate type,600,100,100,100,100,100,100
,,,,,,,,,,,
495,Snivy,Grass,No second type,No alternate type,308,45,45,55,45,55,63
,,,,,,,,,,,
496,Servine,Grass,No second type,No alternate type,413,60,60,75,60,75,83
,,,,,,,,,,,
497,Serperior,Grass,No second type,No alternate type,528,75,75,95,75,95,113
,,,,,,,,,,,
498,Tepig,Fire,No second type,No alternate type,308,65,63,45,45,45,45
,,,,,,,,,,,
499,Pignite,Fire,Fighting,No alternate type,418,90,93,55,70,55,55
,,,,,,,,,,,
500,Emboar,Fire,Fighting,No alternate type,528,110,123,65,100,65,65
,,,,,,,,,,,
501,Oshawott,Water,No second type,No alternate type,308,55,55,45,63,45,45
,,,,,,,,,,,
502,Dewott,Water,No second type,No alternate type,413,75,75,60,83,60,60
,,,,,,,,,,,
503,Samurott,Water,No second type,No alternate type,528,95,100,85,108,70,70
,,,,,,,,,,,
504,Patrat,Normal,No second type,No alternate type,255,45,55,39,35,39,42
,,,,,,,,,,,
505,Watchog,Normal,No second type,No alternate type,420,60,85,69,60,69,77
,,,,,,,,,,,
506,Lillipup,Normal,No second type,No alternate type,275,45,60,45,25,45,55
,,,,,,,,,,,
507,Herdier,Normal,No second type,No alternate type,370,65,80,65,35,65,60
,,,,,,,,,,,
508,Stoutland,Normal,No second type,No alternate type,500,85,110,90,45,90,80
,,,,,,,,,,,
509,Purrloin,Dark,No second type,No alternate type,281,41,50,37,50,37,66
,,,,,,,,,,,
510,Liepard,Dark,No second type,No alternate type,446,64,88,50,88,50,106
,,,,,,,,,,,
511,Pansage,Grass,No second type,No alternate type,316,50,53,48,53,48,64
,,,,,,,,,,,
512,Simisage,Grass,No second type,No alternate type,498,75,98,63,98,63,101
,,,,,,,,,,,
513,Pansear,Fire,No second type,No alternate type,316,50,53,48,53,48,64
,,,,,,,,,,,
514,Simisear,Fire,No second type,No alternate type,498,75,98,63,98,63,101
,,,,,,,,,,,
515,Panpour,Water,No second type,No alternate type,316,50,53,48,53,48,64
,,,,,,,,,,,
516,Simipour,Water,No second type,No alternate type,498,75,98,63,98,63,101
,,,,,,,,,,,
517,Munna,Psychic,No second type,No alternate type,292,76,25,45,67,55,24
,,,,,,,,,,,
518,Musharna,Psychic,No second type,No alternate type,487,116,55,85,107,95,29
,,,,,,,,,,,
519,Pidove,Normal,Flying,No alternate type,264,50,55,50,36,30,43
,,,,,,,,,,,
520,Tranquill,Normal,Flying,No alternate type,358,62,77,62,50,42,65
,,,,,,,,,,,
521,Unfezant,Normal,Flying,No alternate type,488,80,115,80,65,55,93
,,,,,,,,,,,
522,Blitzle,Electric,No second type,No alternate type,295,45,60,32,50,32,76
,,,,,,,,,,,
523,Zebstrika,Electric,No second type,No alternate type,497,75,100,63,80,63,116
,,,,,,,,,,,
524,Roggenrola,Rock,No second type,No alternate type,280,55,75,85,25,25,15
,,,,,,,,,,,
525,Boldore,Rock,No second type,No alternate type,390,70,105,105,50,40,20
,,,,,,,,,,,
526,Gigalith,Rock,No second type,No alternate type,515,85,135,130,60,80,25
,,,,,,,,,,,
527,Woobat,Psychic,Flying,No alternate type,323,65,45,43,55,43,72
,,,,,,,,,,,
528,Swoobat,Psychic,Flying,No alternate type,425,67,57,55,77,55,114
,,,,,,,,,,,
529,Drilbur,Ground,No second type,No alternate type,328,60,85,40,30,45,68
,,,,,,,,,,,
530,Excadrill,Ground,Steel,No alternate type,508,110,135,60,50,65,88
,,,,,,,,,,,
531,Audino,Normal,No second type,No alternate type,445,103,60,126,80,126,50
,,,,,,,,,,,
532,Timburr,Fighting,No second type,No alternate type,305,75,80,55,25,35,35
,,,,,,,,,,,
533,Gurdurr,Fighting,No second type,No alternate type,405,85,105,85,40,50,40
,,,,,,,,,,,
534,Conkeldurr,Fighting,No second type,No alternate type,505,105,140,95,55,65,45
,,,,,,,,,,,
535,Tympole,Water,No second type,No alternate type,294,50,50,40,50,40,64
,,,,,,,,,,,
536,Palpitoad,Water,Ground,No alternate type,384,75,65,55,65,55,69
,,,,,,,,,,,
537,Seismitoad,Water,Ground,No alternate type,509,105,95,75,85,75,74
,,,,,,,,,,,
538,Throh,Fighting,No second type,No alternate type,465,120,100,85,30,85,45
,,,,,,,,,,,
539,Sawk,Fighting,No second type,No alternate type,465,75,125,75,30,75,85
,,,,,,,,,,,
540,Sewaddle,Bug,Grass,No alternate type,310,45,53,70,40,60,42
,,,,,,,,,,,
541,Swadloon,Bug,Grass,No alternate type,380,55,63,90,50,80,42
,,,,,,,,,,,
542,Leavanny,Bug,Grass,No alternate type,500,75,103,80,70,80,92
,,,,,,,,,,,
543,Venipede,Bug,Poison,No alternate type,260,30,45,59,30,39,57
,,,,,,,,,,,
544,Whirlipede,Bug,Poison,No alternate type,360,40,55,99,40,79,47
,,,,,,,,,,,
545,Scolipede,Bug,Poison,No alternate type,485,60,100,89,55,69,112
,,,,,,,,,,,
546,Cottonee,Grass,Fairy,No alternate type,280,40,27,60,37,50,66
,,,,,,,,,,,
547,Whimsicott,Grass,Fairy,No alternate type,480,60,67,85,77,75,116
,,,,,,,,,,,
548,Petilil,Grass,No second type,No alternate type,280,45,35,50,70,50,30
,,,,,,,,,,,
549,Lilligant,Grass,No second type,No alternate type,480,70,60,75,110,75,90
,,,,,,,,,,,
550,Basculin,Water,No second type,No alternate type,460,70,92,65,80,55,98
,,,,,,,,,,,
551,Sandile,Ground,Dark,No alternate type,292,50,72,35,35,35,65
,,,,,,,,,,,
552,Krokorok,Ground,Dark,No alternate type,351,60,82,45,45,45,74
,,,,,,,,,,,
553,Krookodile,Ground,Dark,No alternate type,519,95,117,80,65,70,92
,,,,,,,,,,,
554,Darumaka,Fire,No second type,No alternate type,315,70,90,45,15,45,50
,,,,,,,,,,,
555,Darmanitan,Fire,Fire,Psychic,480,105,30,105,140,105,55
,,,,,,,,,,,
556,Maractus,Grass,No second type,No alternate type,461,75,86,67,106,67,60
,,,,,,,,,,,
557,Dwebble,Bug,Rock,No alternate type,325,50,65,85,35,35,55
,,,,,,,,,,,
558,Crustle,Bug,Rock,No alternate type,485,70,105,125,65,75,45
,,,,,,,,,,,
559,Scraggy,Dark,Fighting,No alternate type,348,50,75,70,35,70,48
,,,,,,,,,,,
560,Scrafty,Dark,Fighting,No alternate type,488,65,90,115,45,115,58
,,,,,,,,,,,
561,Sigilyph,Psychic,Flying,No alternate type,490,72,58,80,103,80,97
,,,,,,,,,,,
562,Yamask,Ghost,No second type,No alternate type,303,38,30,85,55,65,30
,,,,,,,,,,,
563,Cofagrigus,Ghost,No second type,No alternate type,483,58,50,145,95,105,30
,,,,,,,,,,,
564,Tirtouga,Water,Rock,No alternate type,355,54,78,103,53,45,22
,,,,,,,,,,,
565,Carracosta,Water,Rock,No alternate type,495,74,108,133,83,65,32
,,,,,,,,,,,
566,Archen,Rock,Flying,No alternate type,401,55,112,45,74,45,70
,,,,,,,,,,,
567,Archeops,Rock,Flying,No alternate type,567,75,140,65,112,65,110
,,,,,,,,,,,
568,Trubbish,Poison,No second type,No alternate type,329,50,50,62,40,62,65
,,,,,,,,,,,
569,Garbodor,Poison,No second type,No alternate type,474,80,95,82,60,82,75
,,,,,,,,,,,
570,Zorua,Dark,No second type,No alternate type,330,40,65,40,80,40,65
,,,,,,,,,,,
571,Zoroark,Dark,No second type,No alternate type,510,60,105,60,120,60,105
,,,,,,,,,,,
572,Minccino,Normal,No second type,No alternate type,300,55,50,40,40,40,75
,,,,,,,,,,,
573,Cinccino,Normal,No second type,No alternate type,470,75,95,60,65,60,115
,,,,,,,,,,,
574,Gothita,Psychic,No second type,No alternate type,290,45,30,50,55,65,45
,,,,,,,,,,,
575,Gothorita,Psychic,No second type,No alternate type,390,60,45,70,75,85,55
,,,,,,,,,,,
576,Gothitelle,Psychic,No second type,No alternate type,490,70,55,95,95,110,65
,,,,,,,,,,,
577,Solosis,Psychic,No second type,No alternate type,290,45,30,40,105,50,20
,,,,,,,,,,,
578,Duosion,Psychic,No second type,No alternate type,370,65,40,50,125,60,30
,,,,,,,,,,,
579,Reuniclus,Psychic,No second type,No alternate type,490,110,65,75,125,85,30
,,,,,,,,,,,
580,Ducklett,Water,Flying,No alternate type,305,62,44,50,44,50,55
,,,,,,,,,,,
581,Swanna,Water,Flying,No alternate type,473,75,87,63,87,63,98
,,,,,,,,,,,
582,Vanillite,Ice,No second type,No alternate type,305,36,50,50,65,60,44
,,,,,,,,,,,
583,Vanillish,Ice,No second type,No alternate type,395,51,65,65,80,75,59
,,,,,,,,,,,
